,Tweet,Time,Score,Location,Compound Score
21,"RT  : 1 thing on our mind. 

#TakeItBack https://t.co/42gaN9eStt",2019-10-29 23:53:42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
22,RT  : This has me wanting to pipe in the radio broadcast tonight just for the music ... The man behind the Astros radio broadca…,2019-10-29 23:53:42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Fayette County, TX",0.0
23,"RT  : The journey leads us home. 

#TakeItBack https://t.co/kRAzyyEumw",2019-10-29 23:53:41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","College Station,TX",0.0
24,"RT  : I hope the Astros beat the Washington Swamp Rats 25-0, tonight.",2019-10-29 23:53:41,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}","Pennsylvania, USA",0.4404
25,"RT  : The journey leads us home. 

#TakeItBack https://t.co/kRAzyyEumw",2019-10-29 23:53:41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
26,"RT  : Whole city behind us. 🤘

#HTownPride https://t.co/g7MRiLRaTI",2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Oklahoma City, OK",0.0
27,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",Somewhere spending money ,0.34
28,"RT  : Hey    fans, when you Boo'd your President  , you boo'd the many Wounded Warriors (heroes) that he…",2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
29,Here we go..game 6..Astros looking to close out the #WorldSeries against the Nationals.,2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New York,0.0
30,Let's Take It back!!! Jimmy Odus came picked up his kicks today and rocking them to Game 6 🤘🏾🤘🏾🤘🏾 #WorldSeries ☆☆☆☆… https://t.co/ZyQdWb6BsS,2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Houston, TX",0.0
31,"RT  : Good luck tonight,  !

#OneMission | #TakeItBack https://t.co/woLfDLmHim",2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.7345}",France,0.7345
32,"RT  : 1 thing on our mind. 

#TakeItBack https://t.co/42gaN9eStt",2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",God's Country-Texas,0.0
33,I opened Facebook and literally everyone I know is at the Astros game. Cool. #WorldSeries,2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}",Dallas / Bee Cave / Helotes,0.3182
34,"RT  : Good luck tonight,  !

#OneMission | #TakeItBack https://t.co/woLfDLmHim",2019-10-29 23:53:40,"{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.7345}",deep in da H ,0.7345
35,"RT  : Lets go Astros!!!

Beat the Swamp.",2019-10-29 23:53:39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Texas, USA",0.0
36,"Alright gang, I'm gonna call it.
6-3 and the Astros win in 6.  Let's go! #Takeitback",2019-10-29 23:53:39,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.7263}","Austin, TX",0.7263
37,"RT  : Everything went smooth with the surgery, thank you for all of the kind words. 

If I tweet anything crazy during the Astros gam…",2019-10-29 23:53:39,"{'neg': 0.085, 'neu': 0.707, 'pos': 0.208, 'compound': 0.5423}",,0.5423
38,  A roid said you are gonna lose. So... Ya know... See ya tomorrow.,2019-10-29 23:53:39,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}",Texas,-0.4019
39,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:38,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",,0.34
40,"Baseball is more “ storybook” than any other sport, if you think this #Nationals story is over, then you haven’t be… https://t.co/aAEtN1A1BJ",2019-10-29 23:53:38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New York,0.0
41,RT  : Taking   to the   watch party tonight #GoStros https://t.co/o4dYWUQ4t9,2019-10-29 23:53:37,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}","Houston, TX, USA",0.4019
42,"RT  : Whole city behind us. 🤘

#HTownPride https://t.co/g7MRiLRaTI",2019-10-29 23:53:37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",in your dreams,0.0
43,  how bad do you want the Astros to lose! You haven’t picked us to win in the last 12 games! I’m sorry the… https://t.co/sab20BWzhR,2019-10-29 23:53:37,"{'neg': 0.251, 'neu': 0.59, 'pos': 0.158, 'compound': -0.4559}",Stank Water Bay,-0.4559
44,RT  : If Astros win tn I’ll. Send everyone who retweet this hoe 30$,2019-10-29 23:53:37,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.5859}",,0.5859
45,  Me too ! I hope Astros give the Disgraceful DC National Team and their Unhinged LibTURD Fans a can of who… https://t.co/AsIlWhpQFp,2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4926}",,0.4926
46,"RT  : HOUSTON STAND UP. ASTROS WIN WHOLE SITE FREE. INCLUDING SWEATS! 

RT &amp; SPREAD THE WORD. #TakeItBack",2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.8707}","Muncie, IN",0.8707
47,Need to go to Houston when the Astros win tn 😈😂,2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.5859}",📵,0.5859
48,"What Astros hitter will be the hero tonight?

My pick is Yuli Gurriel

#TakeItBack #WorldSeries2019 #WorldSeries… https://t.co/ISv6c3Hw32",2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.5574}","Houston, TX",0.5574
49,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}","Houston, TX",0.34
50,  Any team where the President of the United States is NOT welcomed at their stadium and is treated with ope… https://t.co/9C5RiuUpMt,2019-10-29 23:53:36,"{'neg': 0.085, 'neu': 0.797, 'pos': 0.117, 'compound': 0.1935}","Virginia Beach, VA",0.1935
51,RT  : IF THE ASTROS WIN WE’RE DROPPING A FREE TEE ON https://t.co/oUwiudpYlY AFTER THE GAME (LIMITED AMOUNT) https://t.co/Rw9Oh7…,2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.8613}",713,0.8613
52,"RT  : Ready. 

#TakeItBack https://t.co/G7kfgwXXm2",2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",,0.3612
53,"RT  : I hope the Astros beat the Washington Swamp Rats 25-0, tonight.",2019-10-29 23:53:36,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}","Tampa, Fl",0.4404
54,"Repping   all the way from   
#WorldSeries
#TakeItBack https://t.co/L6tlzjDEe6",2019-10-29 23:53:35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Houston TX,0.0
55,  Ok Bobby!  We doin this #TakeItBack #Astros,2019-10-29 23:53:35,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.3595}",,0.3595
56,"RT  :                 Look, there're motel roo…",2019-10-29 23:53:35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Texas,0.0
57,"RT  : Lets go Astros!!!

Beat the Swamp.",2019-10-29 23:53:34,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Rochester, NY",0.0
58,"RT  : Good luck tonight,  !

#OneMission | #TakeItBack https://t.co/woLfDLmHim",2019-10-29 23:53:34,"{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.7345}",,0.7345
59,all jokes aside go astros https://t.co/QjOM98Gujv,2019-10-29 23:53:34,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.25}",,0.25
60,"RT  : Houston, let's ride. 🤘 

#TakeItBack https://t.co/CTFqpcnPPZ",2019-10-29 23:53:33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
61,"RT  : Everything went smooth with the surgery, thank you for all of the kind words. 

If I tweet anything crazy during the Astros gam…",2019-10-29 23:53:33,"{'neg': 0.085, 'neu': 0.707, 'pos': 0.208, 'compound': 0.5423}",HoustatlantaCedric    ⁶𓅓,0.5423
62,RT  : I hope Everyone at the #Astros #WorldSeries game tonight chants #USA or  #4MoreYears  or something of the likes!!!,2019-10-29 23:53:33,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.7633}", USA 🇺🇸,0.7633
63,"RT  : Ready. 

#TakeItBack https://t.co/G7kfgwXXm2",2019-10-29 23:53:33,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",,0.3612
64,"RT  : Ready. 

#TakeItBack https://t.co/G7kfgwXXm2",2019-10-29 23:53:32,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",Texas,0.3612
65,  I want the Nats to push it to 7 but I think the Astros end it tonight 6-4 final,2019-10-29 23:53:32,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.0387}","Hamilton, Ontario Canada",0.0387
66,"RT  : nats: take a 2-0 series lead

astros: https://t.co/0G5ebPJEuj",2019-10-29 23:53:32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
67,"RT  : Ready. 

#TakeItBack https://t.co/G7kfgwXXm2",2019-10-29 23:53:31,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",,0.3612
68,GAME TIME BABY! GO ASTROS! #TakeItBack https://t.co/KzZ9eEOMh2,2019-10-29 23:53:31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Azeroth,0.0
69,"We're ready for game 6 ya'll. Sitting here watching the big game on the big screen. Let's go #Astros!
#TakeItBack… https://t.co/etr7uiqLaS",2019-10-29 23:53:31,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4199}","Texas, USA",0.4199
70,"RT  : Ready. 

#TakeItBack https://t.co/G7kfgwXXm2",2019-10-29 23:53:31,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",God's Country-Texas,0.3612
71,RT  : IF THE ASTROS WIN WE’RE DROPPING A FREE TEE ON https://t.co/oUwiudpYlY AFTER THE GAME (LIMITED AMOUNT) https://t.co/Rw9Oh7…,2019-10-29 23:53:31,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.8613}","Houston, TX",0.8613
72,"Okay, Astros. Nationals on the ropes. No letting up. Remember the sage advice of Die Hard. https://t.co/uRWhJ8IPxo",2019-10-29 23:53:31,"{'neg': 0.335, 'neu': 0.58, 'pos': 0.085, 'compound': -0.6808}","Houston, TX",-0.6808
73,"So, you are an   fan and your only playoff ticket ever is for game 7.   Do you want the ‘stros to win tonight?
  #WorldSeries",2019-10-29 23:53:31,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.7506}","CESA #11  Turtle Lake, WI",0.7506
74,Let’s do this. Go Astros. https://t.co/twt7Qn48w2,2019-10-29 23:53:30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","San Antonio, TX",0.0
75,#WorldSeries Game 6   Starting Lineup! #TakeItBack https://t.co/EyF24ugaGl,2019-10-29 23:53:30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
76,"Not sure how much longer i will be able to stay awake. If you’re reading this and have my phone, if the Astros win, call and let me know.",2019-10-29 23:53:30,"{'neg': 0.062, 'neu': 0.819, 'pos': 0.12, 'compound': 0.4287}",,0.4287
77,"RT  : The journey leads us home. 

#TakeItBack https://t.co/kRAzyyEumw",2019-10-29 23:53:30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
78,"RT  : As an Atlanta Braves fan I've always said ""Go Braves!!""

Tonight, as an AMERICAN, I say....

GO ASTROS!!!! Beat the sh…",2019-10-29 23:53:30,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.7482}","Texas, USA",0.7482
79,"RT  : The journey leads us home. 

#TakeItBack https://t.co/kRAzyyEumw",2019-10-29 23:53:29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
80,"RT  : One city, one goal. 🤘 

#TakeItBack https://t.co/8g63O7B59P",2019-10-29 23:53:29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Texas,0.0
81,RT  : If the astros win the World Series I’ll buy someone who rts a jersey of their fave player :),2019-10-29 23:53:29,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8658}","Paris, TX",0.8658
82,"RT  : Good luck tonight,  !

#OneMission | #TakeItBack https://t.co/woLfDLmHim",2019-10-29 23:53:28,"{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.7345}","Memphis, TN",0.7345
83,"RT  : I hope the Astros beat the Washington Swamp Rats 25-0, tonight.",2019-10-29 23:53:28,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}","Missouri, USA",0.4404
84,"RT  : The journey leads us home. 

#TakeItBack https://t.co/kRAzyyEumw",2019-10-29 23:53:28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Mercedes, TX",0.0
85,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:28,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}","Spring, TX",0.34
86,"RT  : Lets go Astros!!!

Beat the Swamp.",2019-10-29 23:53:28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
87,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:27,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}","Texas, USA",0.34
88,"RT  : One city, one goal. 🤘 

#TakeItBack https://t.co/8g63O7B59P",2019-10-29 23:53:27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",she/her,0.0
89,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:27,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}","Texas, USA",0.34
90,"So I wanted to go out tn but now I don’t , but if the astros win then I’m going to regret not going why am i like dis🥵😭",2019-10-29 23:53:27,"{'neg': 0.108, 'neu': 0.644, 'pos': 0.247, 'compound': 0.6956}","Hou , Tx.",0.6956
91,"RT  : Everything went smooth with the surgery, thank you for all of the kind words. 

If I tweet anything crazy during the Astros gam…",2019-10-29 23:53:27,"{'neg': 0.085, 'neu': 0.707, 'pos': 0.208, 'compound': 0.5423}","Pasadena, TX",0.5423
92,"RT  : The journey leads us home. 

#TakeItBack https://t.co/kRAzyyEumw",2019-10-29 23:53:27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Houston, TX",0.0
93,  Awesome! 👊,2019-10-29 23:53:26,"{'neg': 0.0, 'neu': 0.313, 'pos': 0.687, 'compound': 0.6588}","Texas, USA",0.6588
94,"RT  : Good luck tonight,  !

#OneMission | #TakeItBack https://t.co/woLfDLmHim",2019-10-29 23:53:26,"{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.7345}",Texas,0.7345
95,The Astros went from scraping the bottom of the barrel in the NL to being on the verge of winning their second WS in just a few years.,2019-10-29 23:53:26,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.5267}", Louisiana,0.5267
96,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:26,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",htx,0.34
97,"RT  : The journey leads us home. 

#TakeItBack https://t.co/kRAzyyEumw",2019-10-29 23:53:26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
98,"RT  : I hope the Astros beat the Washington Swamp Rats 25-0, tonight.",2019-10-29 23:53:25,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}","Massachusetts, USA",0.4404
99,"RT  : Everything went smooth with the surgery, thank you for all of the kind words. 

If I tweet anything crazy during the Astros gam…",2019-10-29 23:53:25,"{'neg': 0.085, 'neu': 0.707, 'pos': 0.208, 'compound': 0.5423}",,0.5423
